Project,Driver,# Drivers,# APIs,Iteration,Coverage,Total Cov,Crash,Unique Crash
cpu_features,driver2,5,3,1,16.88%,28.55%,0,0
cpu_features,driver1,5,3,1,8.98%,28.55%,0,0
cpu_features,driver4,5,3,1,15.44%,28.55%,0,0
cpu_features,driver0,5,3,1,5.77%,28.55%,0,0
cpu_features,driver3,5,3,1,14.00%,28.55%,0,0
minijail,driver2,5,3,1,0.08%,1.44%,0,0
minijail,driver1,5,3,1,1.13%,1.44%,0,0
minijail,driver4,5,3,1,0.08%,1.44%,0,0
minijail,driver0,5,3,1,1.01%,1.44%,0,0
minijail,driver3,5,3,1,0.85%,1.44%,0,0
pthreadpool,driver2,5,3,1,0.00%,11.76%,32,4
pthreadpool,driver1,5,3,1,0.00%,11.76%,3,2
pthreadpool,driver4,5,3,1,8.64%,11.76%,26,2
pthreadpool,driver0,5,3,1,8.18%,11.76%,28,4
pthreadpool,driver3,5,3,1,8.02%,11.76%,29,3
libhtp,driver2,5,3,1,0.00%,0.00%,1314,6
libhtp,driver1,5,3,1,0.00%,0.00%,1025,4
libhtp,driver4,5,3,1,0.00%,0.00%,827,13
libhtp,driver0,5,3,1,0.00%,0.00%,755,7
libhtp,driver3,5,3,1,0.00%,0.00%,98,4
libvpx,driver2,5,3,1,0.12%,0.35%,1504,3
libvpx,driver1,5,3,1,0.01%,0.35%,0,0
libvpx,driver4,5,3,1,0.06%,0.35%,0,0
libvpx,driver0,5,3,1,0.02%,0.35%,0,0
libvpx,driver3,5,3,1,0.17%,0.35%,0,0
libtiff,driver2,5,3,1,0.21%,2.28%,292,2
libtiff,driver1,5,3,1,0.21%,2.28%,308,2
libtiff,driver4,5,3,1,0.04%,2.28%,21,3
libtiff,driver0,5,3,1,2.11%,2.28%,0,0
libtiff,driver3,5,3,1,0.01%,2.28%,0,0
cpu_features,driver2,5,6,1,38.60%,43.63%,0,0
cpu_features,driver1,5,6,1,37.70%,43.63%,0,0
cpu_features,driver4,5,6,1,20.47%,43.63%,0,0
cpu_features,driver0,5,6,1,14.00%,43.63%,0,0
cpu_features,driver3,5,6,1,21.36%,43.63%,0,0
minijail,driver2,5,6,1,0.00%,1.71%,42,2
minijail,driver1,5,6,1,1.51%,1.71%,0,0
minijail,driver0,5,6,1,1.20%,1.71%,0,0
minijail,driver3,5,6,1,0.00%,1.71%,22,2
pthreadpool,driver2,5,6,1,0.00%,10.98%,80,7
pthreadpool,driver1,5,6,1,10.98%,10.98%,32,6
pthreadpool,driver4,5,6,1,0.00%,10.98%,73,6
pthreadpool,driver0,5,6,1,0.00%,10.98%,41,3
