Project,Driver,# Drivers,# APIs,Iteration,Coverage,Total Cov,Crash,Unique Crash
cpu_features,driver2,5,3,1,15.44%,21.36%,0,0
cpu_features,driver1,5,3,1,19.21%,21.36%,0,0
cpu_features,driver4,5,3,1,14.72%,21.36%,0,0
cpu_features,driver0,5,3,1,15.44%,21.36%,0,0
cpu_features,driver3,5,3,1,8.98%,21.36%,0,0
minijail,driver2,5,3,1,0.93%,1.51%,0,0
minijail,driver1,5,3,1,1.17%,1.51%,0,0
minijail,driver4,5,3,1,0.82%,1.51%,0,0
minijail,driver0,5,3,1,0.85%,1.51%,0,0
minijail,driver3,5,3,1,0.85%,1.51%,0,0
pthreadpool,driver2,5,3,1,0.00%,11.68%,23,2
pthreadpool,driver1,5,3,1,8.41%,11.68%,36,4
pthreadpool,driver4,5,3,1,7.32%,11.68%,37,5
pthreadpool,driver0,5,3,1,0.00%,11.68%,7,2
pthreadpool,driver3,5,3,1,8.02%,11.68%,46,3
libhtp,driver2,5,3,1,0.00%,1.57%,1120,12
libhtp,driver1,5,3,1,0.00%,1.57%,1013,4
libhtp,driver4,5,3,1,0.00%,1.57%,1029,4
libhtp,driver0,5,3,1,0.00%,1.57%,735,4
libhtp,driver3,5,3,1,1.57%,1.57%,0,0
libvpx,driver2,5,3,1,0.10%,0.18%,1491,3
libvpx,driver1,5,3,1,0.07%,0.18%,0,0
libvpx,driver4,5,3,1,0.01%,0.18%,0,0
libvpx,driver0,5,3,1,0.10%,0.18%,1493,3
libvpx,driver3,5,3,1,0.01%,0.18%,0,0
libtiff,driver2,5,3,1,0.01%,0.16%,0,0
libtiff,driver1,5,3,1,0.04%,0.16%,12,2
libtiff,driver4,5,3,1,0.07%,0.16%,0,0
libtiff,driver0,5,3,1,0.04%,0.16%,17,2
libtiff,driver3,5,3,1,0.07%,0.16%,0,0
cpu_features,driver2,5,6,1,8.98%,38.60%,0,0
cpu_features,driver1,5,6,1,22.80%,38.60%,0,0
cpu_features,driver4,5,6,1,38.60%,38.60%,0,0
cpu_features,driver0,5,6,1,16.88%,38.60%,0,0
cpu_features,driver3,5,6,1,15.44%,38.60%,0,0
minijail,driver2,5,6,1,5.94%,8.43%,0,0
minijail,driver1,5,6,1,1.40%,8.43%,0,0
minijail,driver4,5,6,1,1.48%,8.43%,1348,2
minijail,driver0,5,6,1,1.59%,8.43%,0,0
minijail,driver3,5,6,1,1.59%,8.43%,368,2
pthreadpool,driver2,5,6,1,10.75%,18.07%,53,4
pthreadpool,driver1,5,6,1,0.00%,18.07%,5,2
pthreadpool,driver4,5,6,1,0.00%,18.07%,9,2
pthreadpool,driver0,5,6,1,11.53%,18.07%,41,4
pthreadpool,driver3,5,6,1,12.38%,18.07%,52,8
libhtp,driver2,5,6,1,0.00%,0.00%,1127,2
libhtp,driver1,5,6,1,0.00%,0.00%,1135,2
libhtp,driver4,5,6,1,0.00%,0.00%,374,2
libhtp,driver0,5,6,1,0.00%,0.00%,86,4
libhtp,driver3,5,6,1,0.00%,0.00%,722,7
libvpx,driver2,5,6,1,0.09%,1.41%,1610,2
libvpx,driver1,5,6,1,0.06%,1.41%,2,0
libvpx,driver4,5,6,1,0.20%,1.41%,0,0
libvpx,driver0,5,6,1,1.24%,1.41%,0,0
libvpx,driver3,5,6,1,0.08%,1.41%,0,0
libtiff,driver2,5,6,1,0.05%,2.27%,226,2
libtiff,driver1,5,6,1,0.09%,2.27%,0,0
libtiff,driver4,5,6,1,0.01%,2.27%,0,0
libtiff,driver0,5,6,1,2.14%,2.27%,1538,6
libtiff,driver3,5,6,1,0.05%,2.27%,0,0
cpu_features,driver2,5,12,1,21.36%,38.24%,0,0
cpu_features,driver1,5,12,1,23.52%,38.24%,0,0
cpu_features,driver4,5,12,1,37.16%,38.24%,0,0
cpu_features,driver0,5,12,1,22.80%,38.24%,0,0
cpu_features,driver3,5,12,1,22.80%,38.24%,0,0
minijail,driver2,5,12,1,1.98%,4.43%,2,2
minijail,driver1,5,12,1,0.00%,4.43%,1559,2
minijail,driver4,5,12,1,2.37%,4.43%,0,0
minijail,driver0,5,12,1,2.29%,4.43%,0,0
minijail,driver3,5,12,1,0.00%,4.43%,0,0
pthreadpool,driver2,5,12,1,0.00%,0.00%,20,2
pthreadpool,driver1,5,12,1,0.00%,0.00%,20,2
pthreadpool,driver4,5,12,1,0.00%,0.00%,20,2
pthreadpool,driver0,5,12,1,0.00%,0.00%,20,2
pthreadpool,driver3,5,12,1,0.00%,0.00%,20,2
libhtp,driver2,5,12,1,0.00%,0.00%,38,2
libhtp,driver1,5,12,1,0.00%,0.00%,20,2
libhtp,driver4,5,12,1,0.00%,0.00%,20,2
libhtp,driver0,5,12,1,0.00%,0.00%,24,2
libhtp,driver3,5,12,1,0.00%,0.00%,90,2
libvpx,driver2,5,12,1,0.10%,1.55%,0,0
libvpx,driver1,5,12,1,0.11%,1.55%,0,0
libvpx,driver4,5,12,1,0.08%,1.55%,0,0
