done,Library,API function:argument (-1 return),malloc size,file path,buffer (var len),length (var len),create,static,source,sink,init api
TRUE,c-ares,ares_cancel:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_cancel:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_create_query:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,c-ares,ares_create_query:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_create_query:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_create_query:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_create_query:3,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_create_query:4,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_create_query:5,FALSE,FALSE,TRUE,6,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_create_query:6,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_create_query:7,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_destroy_options:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE
TRUE,c-ares,ares_destroy_options:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_destroy:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE
TRUE,c-ares,ares_destroy:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_dup:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_dup:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_dup:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_expand_name:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,c-ares,ares_expand_name:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_expand_name:1,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_expand_name:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_expand_name:3,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_expand_name:4,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_expand_string:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,c-ares,ares_expand_string:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_expand_string:1,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_expand_string:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_expand_string:3,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_expand_string:4,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_fds:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_fds:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_fds:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_fds:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_free_data:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE
TRUE,c-ares,ares_free_data:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_free_hostent:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE
TRUE,c-ares,ares_free_hostent:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_free_string:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE
TRUE,c-ares,ares_free_string:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_freeaddrinfo:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE
TRUE,c-ares,ares_freeaddrinfo:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_get_servers_ports:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_get_servers_ports:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_get_servers_ports:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_get_servers:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_get_servers:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_get_servers:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_getaddrinfo:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_getaddrinfo:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_getaddrinfo:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_getaddrinfo:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_getaddrinfo:3,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_getaddrinfo:4,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_getaddrinfo:5,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_gethostbyaddr:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_gethostbyaddr:0,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_gethostbyaddr:1,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_gethostbyaddr:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_gethostbyaddr:3,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
